candidate_id,candidate_name,state_abbreviation,congressional_district,party,cash_on_hand,disbursements,receipts,ind_support,ind_oppose,party_expenditures
H0AL01055,"CARL, JERRY LEE, JR",AL,1,Republican,325705,179027,392759,0,0,0
H0AL07086,"SEWELL, TERRI A.",AL,7,Democrat,2470347,380701,607567,144860,0,0
H0AR01083,"CRAWFORD, ERIC ALAN RICK",AR,1,Republican,300710,161408,279410,0,0,0
H0AR03055,"WOMACK, STEVE",AR,3,Republican,1565815,192652,395211,0,0,0
H0AZ01259,"GOSAR, PAUL DR.",AZ,4,Republican,107917,182478,276936,870,33561,0
H0AZ08072,"MUSCATO, MICHAEL ARCHANGEL",AZ,8,Democrat,0,35946,12212,0,0,0
H0CA03078,"BERA, AMERISH",CA,7,Democrat,2118908,410291,500180,1269304,0,0
H0CA03128,"HAMILTON, TAMIKA",CA,6,Republican,88005,267053,342543,0,0,0
H0CA04175,"KENNEDY, BRYNNE",CA,4,Democrat,0,0,0,0,0,0
H0CA06170,"BISH, CHRISTINE",CA,6,Republican,5059,27068,31162,0,0,0
H0CA07137,"PATTERSON, ROBERT BUZZ",CA,7,Republican,0,19305,19165,0,0,0
H0CA08135,"OBERNOLTE, JAY",CA,8,Republican,200876,218261,349554,0,0,0
H0CA10073,"DESAULNIER, MARK",CA,11,Democrat,625188,105412,249212,86054,0,0
H0CA10149,"GARAMENDI, JOHN",CA,3,Democrat,1406952,123317,419147,0,0,0
H0CA18068,"KUMAR, RISHI",CA,18,Democrat,-24730,39001,38967,0,0,0
H0CA22102,"ARBALLO, PHIL",CA,22,Democrat,374138,482008,826880,0,0,0
H0CA22110,"GARCIA, ERIC",CA,22,Democrat,11549,177586,189136,0,0,0
H0CA25105,"GARCIA, MICHAEL",CA,27,Republican,1284338,1447445,2353925,0,27035,0
H0CA25154,"SMITH, CHRISTY",CA,25,Democrat,371443,373127,575313,0,0,0
H0CA26145,"KENNEDY, RONDA",CA,26,Republican,0,0,0,0,0,0
H0CA27085,"SCHIFF, ADAM",CA,30,Democrat,15355156,5025600,6472484,0,0,0
H0CA27127,"NALBANDIAN, JOHNNY",CA,30,Republican,378,10230,10146,0,0,0
H0CA28174,"PUDLO, G MAEBE A. GIRL",CA,28,Democrat,7106,5395,9938,0,0,0
H0CA32101,"CHU, JUDY",CA,28,Democrat,3006568,217147,438546,0,0,0
H0CA33117,"BASS, KAREN",CA,37,Democrat,1388538,600129,662803,0,0,0
H0CA40120,"FELIX, ANTHONY DR. JR.",CA,40,Democrat,3995,18875,21280,0,0,0
H0CA42217,"O'MARA, WILLIAM EDWARD DR IV",CA,42,Democrat,0,14864,13581,0,0,0
H0CA43108,"COLLINS, JOE E III",CA,43,Republican,163916,2003442,1531836,0,0,0
H0CA45160,"GONZALES, CHRISTOPHER",CA,47,Republican,10474,5456,15930,0,0,0
