candidate_id,candidate_name,state_abbreviation,congressional_district,party,cash_on_hand,disbursements,receipts,ind_support,ind_oppose,party_expenditures
H2MA04073,"KENNEDY, JOSEPH P III",MA,0,Democrat,0,0,0,3629383,0,0
H6KS01179,"MARSHALL, ROGER W",KS,0,Republican,0,0,0,70136,0,0
S0AK00196,"GROSS, AL DR.",AK,0,Independent,2944097,2297071,5241168,2590890,1533423,0
S0AL00156,"JONES, DOUG",AL,0,Democrat,8783104,7824539,14476478,209116,1840673,0
S0AL00206,"BYRNE, BRADLEY ROBERTS",AL,0,Republican,25668,3504323,3529990,1360600,1000013,0
S0AL00230,"TUBERVILLE, THOMAS H",AL,0,Republican,551285,3613791,4165076,905330,87000,25000
S0AL00248,"ADAIR, STANLEY E",AL,0,Republican,821,287137,287948,0,0,0
S0AL00263,"MOONEY, ARNOLD",AL,0,Republican,206872,759908,966780,492410,0,0
S0AL00289,"MERRILL, JOHN H",AL,0,Republican,306499,621999,928498,0,0,0
S0AL00297,"MOORE, ROY STEWART",AL,0,Republican,0,189665,189665,0,0,0
S0AL00313,"PARRISH, MICHAEL",AL,0,Other,2599,2481,5116,0,0,0
S0AR00200,"MAHONY, JOSHUA MR.",AR,0,Democrat,0,372735,372735,0,0,0
S0AR00218,"WHITFIELD, DANIEL ALLEN",AR,0,Independent,18791,20394,39185,0,0,0
S0AR00226,"HARRINGTON, RICKY DALE MR. JR",AR,0,Libertarian,4337,783,5120,0,0,0
S0AZ00350,"KELLY, MARK",AZ,0,Democrat,21218943,24885272,46104216,6193476,25162209,10500
S0AZ00376,"MCCARTHY, DANIEL",AZ,0,Republican,33324,478560,511884,0,0,0
S0CO00286,"ROMANOFF, ANDREW",CO,0,Democrat,457279,2909862,3361037,80128,1464227,0
S0CO00419,"LEITZEL, DUSTIN JOHN",CO,0,Democrat,0,5653,5603,0,0,0
S0CO00435,"GARCIA, LORENA LORENA FOR",CO,0,Democrat,-13114,155310,142185,0,0,0
S0CO00450,"ZORNIO, PATRICIA ANNE",CO,0,Democrat,17866,114373,132239,0,0,0
S0CO00468,"JOHNSTON, MICHAEL C",CO,0,Democrat,1159796,2455057,3614852,0,0,0
S0CO00484,"SPAULDING, STEPHANY ROSE",CO,0,Democrat,10840,180702,191543,0,0,0
S0CO00492,"BRAY, DIANA",CO,0,Democrat,0,88173,92355,0,0,0
S0CO00500,"BAER, DAN",CO,0,Democrat,157741,1519539,1677281,0,0,0
S0CO00518,"WALSH, JOHN",CO,0,Democrat,129903,756603,886506,0,0,0
S0CO00526,"BURNES, ELLEN DR",CO,0,Democrat,0,122028,122028,0,0,0
