candidate_id,state_abbreviation,congressional_district,candidate_party,disbursement,ind_support,ind_oppose,party_expenditures
H0AL01055,CARL, JERRY LEE, JR,AL,1,Republican,1685856,144203,2318326,0
H0AL01063,LAMBERT, DOUGLAS WESTLEY III,AL,1,Republican,179837,0,0,0
H0AL01071,PRINGLE, CHRISTOPHER PAUL,AL,1,Republican,488394,0,0,0
H0AL01089,HIGHTOWER, BILL,AL,1,Republican,1198214,465047,0,0
H0AL01097,AVERHART, JAMES,AL,1,Democrat,37114,0,0,0
H0AL01105,GARDNER, KIANI A,AL,1,Democrat,114683,0,0,0
H0AL01121,CASTORANI, JOHN,AL,1,Republican,26192,0,0,0
H0AL01139,COLLINS, FREDERICK G. RICK',AL,1,Democrat,56549,0,0,0
H0AL02087,ROBY, MARTHA,AL,2,Republican,490228,51,750,0
H0AL02137,DISMUKES, WILL,AL,2,Republican,14157,0,0,0
H0AL02145,COLEMAN, JEFF,AL,2,Republican,2331575,0,1118743,0
H0AL02152,KING, TROY,AL,2,Republican,284355,0,28346,0
H0AL02160,BROWN, THOMAS WILLIAM JR.,AL,2,Republican,22258,0,0,0
H0AL02178,TAYLOR, JESSICA,AL,2,Republican,494644,50168,0,0
H0AL02194,HASDORFF, TERRI,AL,2,Republican,89887,164751,0,0
H0AL02202,HARVEY-HALL, PHYLLIS,AL,2,Democrat,15143,0,0,0
H0AL05163,BROOKS, MO,AL,5,Republican,121153,5075,750,0
H0AL05205,LEWIS, CHRIS,AL,5,Republican,194626,41496,0,0
H0AL07086,SEWELL, TERRI A.,AL,7,Democrat,1687468,750,0,0
H0AR01083,CRAWFORD, ERIC ALAN RICK,AR,1,Republican,826285,0,0,0
H0AR02206,ELLIOTT, JOYCE ANN SENATOR,AR,2,Democrat,327566,0,0,0
H0AR03055,WOMACK, STEVE,AR,3,Republican,588808,0,0,0
H0AR03105,WILLIAMS, CELESTE SARENE,AR,3,Democrat,161703,0,0,0
H0AR04087,HANSON, WILLIAM MR.,AR,4,Democrat,64860,0,0,0
H0AZ01259,GOSAR, PAUL DR.,AZ,4,Republican,378589,427,750,0
H0AZ01358,PUTZOVA, EVA,AZ,1,Democrat,277738,1016,0,0
H0AZ01366,TAYLOR, CHRIS,AZ,1,Republican,25666,0,0,0
